reservationNumber,reservationCreatedTime,bookingFirstName,bookingMiddleName,bookingLastName,bookingContact,bookingGender,expectedCheckInDate,expectedCheckOutDate,rentalType,proposedRentalPrice,proposedDepositAmount,reserveBranchNumber,reserveCustomerNumber,reserveManagerNumber
1,2017-10-26 18:47:58.700,Chao-tak,,Mahagitsiri,0879982520,M,2017-05-28,2017-10-31,M,16938,3000,8,146,37
2,2017-09-08 12:51:49.970,Arada,,Kantawong,0992350383,M,2017-02-22,2017-07-14,M,16364,3000,9,164,42
3,2017-07-13 19:02:35.260,Sanan Nam,,Noppachorn,0938210342,M,2017-03-12,2017-07-21,M,15971,3000,8,154,37
4,2017-10-29 02:24:06.750,Jiratchaya,,Wongkrachang,0865276615,M,2017-06-21,2017-09-15,M,14183,3000,6,112,27
5,2017-11-24 05:15:03.210,Pawaritsorn,,Kongpaisarn,0886987802,M,2017-04-18,2017-07-20,M,14465,3000,3,42,12
6,2017-11-19 08:12:26.210,Maneechat,,Prem,0927184712,M,2017-02-03,2017-06-30,M,16582,3000,6,112,27
7,2017-12-30 09:17:17.360,Jittramas,,Kunchai,0982845868,M,2017-05-14,2017-09-10,M,15487,3000,10,182,47
8,2017-12-01 01:05:51.720,Kwanjai,,Kunchai,0830769586,M,2017-06-07,2017-11-14,M,17099,3000,5,89,22
9,2017-08-21 09:48:07.200,Phairoh,,Chamroon,0899417587,M,2017-02-04,2017-04-16,M,13624,3000,10,196,47
10,2017-07-17 19:40:22.000,Jittramas,,Pongsak,0853881200,M,2017-03-18,2017-04-23,M,12251,3000,3,55,12
11,2017-07-30 03:39:43.350,Nittaya,,Patalung,0977787957,M,2017-04-28,2017-06-05,M,12318,3000,3,59,12
12,2017-07-22 14:34:06.730,Nittaya,,Wechsupaporn,0922223812,M,2017-06-01,2017-08-26,M,14183,3000,5,94,22
13,2017-07-22 01:09:29.750,Sangwan,,Parnpradub,0822470312,M,2017-03-08,2017-07-10,M,15688,3000,7,127,32
